model,train_acc,test_acc,train_roc_auc,test_roc_auc,train_ap,test_ap,test_f1,test_recall,test_precision
SVM Linear,0.9846153846153847,0.9824561403508771,0.996842105263158,0.9937169312169312,0.9964303349909064,0.9919920152158977,0.9761904761904762,0.9761904761904762,0.9761904761904762
SVM RBF,0.9868131868131869,0.9824561403508771,0.9981630546955624,0.9976851851851852,0.9977058137486996,0.9965986394557824,0.9761904761904762,0.9761904761904762,0.9761904761904762
Logistic Regression,0.989010989010989,0.9824561403508771,0.9974819401444788,0.9953703703703705,0.9969210229695196,0.9940476190476191,0.9761904761904762,0.9761904761904762,0.9761904761904762
Random Forest,1.0,0.956140350877193,1.0,0.9938822751322751,1.0,0.9899712499015851,0.9397590361445783,0.9285714285714286,0.9512195121951219
